,rallyid,frameid,strokeid,hitter,isserve,type,stroke,x_cabal,y_cabal,x_farah,y_farah,x_lopez,y_lopez,x_murray,y_murray,time
0,1,22266,1,Farah,True,points,forehand,7.18,19.16,3.76,27.19,9.29,1.56,3.62,3.86,0.0
1,1,22299,2,Lopez,False,topspin,backhand,7.37,18.57,4.01,25.34,9.58,2.33,3.65,3.86,1.32
2,1,22330,3,Cabal,False,volley,backhand,7.93,16.81,4.3,22.9,9.7,3.54,3.5,3.76,2.56
3,1,22396,4,Lopez,False,topspin,forehand,7.42,18.08,4.28,19.8,6.45,7.35,2.68,6.2,5.2
4,1,22433,5,Farah,False,volley,forehand,6.63,18.83,3.16,17.96,6.25,8.82,2.96,8.36,6.680000000000001
5,2,23526,1,Farah,True,points,forehand,3.84,17.78,7.13,27.99,7.93,2.21,1.57,0.25,50.400000000000006
6,2,23561,2,Murray,False,topspin,backhand,4.09,17.62,6.61,25.86,8.09,2.37,2.06,0.75,51.800000000000004
7,2,23602,3,Farah,False,volley,forehand,5.81,15.64,2.78,24.25,8.57,2.37,2.75,0.74,53.440000000000005
8,2,23727,4,Farah,False,volley,backhand,7.65,18.23,4.43,20.05,8.95,0.68,3.38,8.06,58.440000000000005
9,3,24951,1,Farah,True,points,forehand,7.31,17.19,3.76,26.71,9.43,-0.48,3.72,2.4,107.4
10,3,24985,2,Lopez,False,topspin,forehand,6.96,16.66,3.87,24.89,8.89,0.29,3.75,2.08,108.76
11,4,26198,1,Farah,True,points,forehand,4.1,17.7,7.42,27.87,8.04,2.7,1.58,0.64,157.28
12,4,26231,2,Murray,False,lob,backhand,4.35,17.54,7.16,26.2,8.08,2.66,1.35,1.15,158.60000000000002
13,5,27194,1,Farah,True,points,forehand,7.41,18.31,3.92,29.3,9.64,0.31,3.76,3.09,197.12
14,6,29570,1,Lopez,True,points,forehand,8.58,-1.48,3.55,0.05,4.41,22.0,7.02,14.64,292.16
15,6,29604,2,Cabal,False,topspin,backhand,8.17,-1.07,3.6,0.08,3.98,19.53,6.92,13.38,293.52000000000004
16,7,30780,1,Lopez,True,points,forehand,8.11,0.68,2.15,0.97,8.0,25.4,4.56,16.76,340.56
17,8,31145,1,Lopez,True,points,forehand,7.92,8.17,2.3,0.63,8.27,25.96,4.6,17.22,355.16
18,8,31180,2,Farah,False,return,forehand,7.77,8.41,2.44,1.15,7.81,22.85,4.52,16.53,356.56
19,9,32193,1,Lopez,True,points,forehand,8.7,-0.43,3.94,7.96,4.15,25.22,7.08,17.43,397.08000000000004
20,9,32225,2,Cabal,False,lob,backhand,7.44,0.27,3.95,7.92,3.52,23.62,6.93,15.84,398.36
21,10,33159,1,Lopez,True,points,forehand,7.72,1.26,1.75,0.92,7.37,26.55,4.0,17.46,435.72
22,11,33622,1,Lopez,True,points,forehand,7.45,8.76,2.02,0.77,7.68,26.43,4.14,17.15,454.24
23,11,33657,2,Farah,False,return,backhand,7.54,8.71,2.42,1.41,7.51,22.96,3.73,16.39,455.64000000000004
24,11,33695,3,Murray,False,volley,backhand,7.84,9.0,3.67,1.65,7.8,20.93,5.58,15.71,457.16
25,12,35370,1,Cabal,True,points,forehand,7.66,1.15,3.68,10.07,1.66,26.97,7.11,24.31,524.159999999
26,12,35405,2,Lopez,False,return,backhand,7.32,3.38,3.5,10.95,0.3,26.05,6.97,23.89,525.5599999990001
27,13,36484,1,Cabal,True,points,forehand,5.09,1.25,6.17,10.98,3.07,24.14,8.87,27.12,568.72
28,13,36520,2,Murray,False,return,forehand,5.02,3.5,6.49,11.73,3.04,23.93,7.7,27.25,570.1600000000001
29,14,37298,1,Cabal,True,points,forehand,7.54,1.18,3.63,10.45,1.5,27.21,6.94,24.21,601.2800000000001
30,14,37344,2,Lopez,False,lob,backhand,7.36,4.2,3.3,10.67,-0.46,26.06,6.96,24.75,603.12
31,14,37435,3,Cabal,False,volley,backhand,4.49,4.82,3.62,6.83,-0.43,27.11,7.75,26.2,606.76
32,14,37493,4,Murray,False,topspin,forehand,3.25,2.83,5.88,8.52,2.76,27.31,5.3,25.88,609.08
33,14,37543,5,Cabal,False,topspin,backhand,1.34,1.51,6.33,9.42,3.09,25.79,5.69,25.65,611.08
34,15,38886,1,Cabal,True,points,forehand,3.96,1.29,7.15,10.37,3.24,24.04,9.19,27.36,664.8000000000001
35,16,39414,1,Cabal,True,points,forehand,3.79,1.11,7.08,10.64,4.09,18.84,9.03,25.27,685.9200000000001
