,rallyid,server,winner,reason,strokes,totaltime,x,y,frameid
0,1,Farah,Farah,winner,5.0,1.32,4.61,8.99,22451
1,2,Farah,Farah,winner,4.0,1.3999999999999986,6.62,4.5,23790
2,3,Farah,Lopez,winner,2.0,1.3599999999999994,7.52,23.26,25029
3,4,Farah,Farah,out,2.0,1.3200000000000216,0.05,20.45,26323
4,5,Farah,Farah,ace,1.0,0.0,6.1,8.14,27214
5,6,Lopez,Lopez,out,2.0,1.3600000000000136,11.01,20.89,29707
6,7,Lopez,__undefined__,second_serve,1.0,0.0,5.17,13.72,30797
7,8,Lopez,Lopez,net,2.0,1.3999999999999773,8.85,13.17,31215
8,9,Lopez,Lopez,out,2.0,1.2799999999999727,4.85,25.88,32339
9,10,Lopez,__undefined__,second_serve,1.0,0.0,3.17,17.87,33225
10,11,Lopez,Murray,winner,3.0,1.400000000000034,2.25,11.13,33713
11,12,Cabal,Cabal,net,2.0,1.400000000000091,4.24,13.73,35433
12,13,Cabal,Cabal,net,2.0,1.4400000000000546,5.91,17.29,36544
13,14,Cabal,Lopez,net,5.0,1.8399999999999181,6.49,16.82,37577
14,15,Cabal,__undefined__,second_serve,1.0,0.0,9.51,19.39,38907
15,16,Cabal,Cabal,net,2.0,1.5599999999999454,8.47,14.09,39474
16,17,Cabal,Cabal,out,2.0,1.2799999999999727,6.61,-0.18,40675
17,18,Murray,Murray,out,2.0,1.7200000000000273,-1.99,24.63,45340
18,19,Murray,__undefined__,second_serve,1.0,0.0,4.74,13.79,46424
19,20,Murray,Murray,out,2.0,1.919999999999959,4.07,0.24,47104
20,21,Murray,Murray,out,2.0,1.5199999999999818,11.68,6.73,48264
21,22,Murray,Farah,winner,2.0,1.2799999999999727,9.24,4.22,49410
22,23,Murray,__undefined__,second_serve,1.0,0.0,3.9,17.38,50473
23,24,Murray,Farah,winner,4.0,4.639999999999873,5.86,1.6,51204
24,25,Murray,__undefined__,second_serve,1.0,0.0,5.11,15.35,52456
25,26,Murray,Murray,out,2.0,1.9600000000000364,11.74,0.25,53300
26,27,Farah,__undefined__,let,1.0,0.0,7.12,16.21,55022
27,28,Farah,Farah,net,2.0,1.6399999999998727,3.91,11.86,56024
28,29,Farah,Farah,ace,1.0,0.0,6.52,6.12,57111
29,30,Farah,Lopez,net,5.0,9.11999999999989,1.52,14.08,59401
30,31,Farah,Farah,net,2.0,1.4800000000000182,10.62,15.38,60774
31,32,Farah,Farah,out,2.0,1.3999999999998636,7.07,-0.02,61694
32,33,Lopez,__undefined__,second_serve,1.0,0.0,5.43,13.85,66447
33,34,Lopez,Murray,winner,11.0,1.4800000000000182,9.82,5.41,67311
34,35,Lopez,Lopez,ace,1.0,0.0,2.47,9.09,68424
35,36,Lopez,Murray,winner,3.0,2.880000000000109,8.15,10.41,69280
36,37,Lopez,Lopez,ace,1.0,0.0,6.18,8.33,70287
37,38,Cabal,__undefined__,second_serve,1.0,0.0,5.08,19.96,71969
38,39,Cabal,__undefined__,let,3.0,2.599999999999909,4.63,15.94,72536
39,40,Farah,Cabal,net,5.0,-6.080000000000155,4.86,13.33,72792
40,41,Cabal,__undefined__,second_serve,1.0,0.0,5.12,12.15,74013
41,42,Cabal,Cabal,net,4.0,3.119999999999891,8.03,13.31,74637
42,43,Cabal,Farah,winner,7.0,1.3999999990001015,5.91,18.49,76326
43,44,Cabal,__undefined__,second_serve,1.0,0.0,8.29,12.01,77540
44,45,Cabal,Cabal,net,2.0,1.5199999999999818,6.31,13.51,78193
